id_text,source,target,Type,ancient_author,recipient
P334296,Ašipa,Metunu,undirected,Ašipa,
P334698,Urzana,Šulmu-beli,undirected,,
P334412,Nimarkaya,Abi-ramu,undirected,Šamaš-belu-uṣur,
P334412,Nimarkaya,Dala-il,undirected,Šamaš-belu-uṣur,
P334412,Abi-ramu,Dala-il,undirected,Šamaš-belu-uṣur,
P334688,Ariye,Ariaza,undirected,Ṭab-šar-Aššur,
P334688,Ariye,Silim-Aššur,undirected,Ṭab-šar-Aššur,
P334688,Ariaza,Silim-Aššur,undirected,Ṭab-šar-Aššur,
P313494,Adad-isseʾa,Mannu-ki-Adad,undirected,Adad-issiya,
P334200,Šarru-emuranni,Bel-iddina,undirected,Šarru-emuranni,
P334782,Šamaš-belu-uṣur,Kiṣir-Aššur,undirected,Šamaš-belu-uṣur,
P334308,Aššur-reṣuwa,Setinu,undirected,Aššur-reṣuwa,
P334308,Aššur-reṣuwa,Kaqqadanu,undirected,Aššur-reṣuwa,
P334308,Aššur-reṣuwa,Sakuata,undirected,Aššur-reṣuwa,
P334308,Aššur-reṣuwa,Siplia,undirected,Aššur-reṣuwa,
P334308,Aššur-reṣuwa,Ṭuki,undirected,Aššur-reṣuwa,
P334308,Setinu,Kaqqadanu,undirected,Aššur-reṣuwa,
P334308,Setinu,Sakuata,undirected,Aššur-reṣuwa,
P334308,Setinu,Siplia,undirected,Aššur-reṣuwa,
P334308,Setinu,Ṭuki,undirected,Aššur-reṣuwa,
P334308,Kaqqadanu,Sakuata,undirected,Aššur-reṣuwa,
P334308,Kaqqadanu,Siplia,undirected,Aššur-reṣuwa,
P334308,Kaqqadanu,Ṭuki,undirected,Aššur-reṣuwa,
P334308,Sakuata,Siplia,undirected,Aššur-reṣuwa,
P334308,Sakuata,Ṭuki,undirected,Aššur-reṣuwa,
P334308,Siplia,Ṭuki,undirected,Aššur-reṣuwa,
P313739,Kiṣir-Aššur,Mannu-ki-Arbail,undirected,,
P313540,Naʾdi-ilu,Kiṣir-Aššur,undirected,Naʾdi-ilu,
P313529,Kaqqadanu,Urzana,undirected,,
P313529,Kaqqadanu,Ariaza,undirected,,
P313529,Urzana,Ariaza,undirected,,
P334405,Saniye,Kaqqadanu,undirected,Aššur-reṣuwa,
P334405,Kaqqadanu,Saniye,undirected,Aššur-reṣuwa,
P393858,Ša-Aššur-dubbu,Hu-Teššub,undirected,Ša-Aššur-dubbu,
P393858,Ša-Aššur-dubbu,Rusa,undirected,Ša-Aššur-dubbu,
P393858,Hu-Teššub,Rusa,undirected,Ša-Aššur-dubbu,
P393858,Rusa,Hu-Teššub,undirected,Ša-Aššur-dubbu,
P334181,Aššur-belu-daʾʾin,Šamaš-ilaʾi,undirected,Aššur-belu-daʾʾin,
P334615,Mannu-ki-Adad,Babu,undirected,Mannu-ki-Adad,
P334894,Adad-isseʾa,Šulmu-beli,undirected,Adad-issiya,
P334069,Gabbu-ana-Aššur,Arzaya,undirected,Gabbu-ana-Aššur,
P334558,Aššur-alik-pani,Bel-iddina,undirected,Aššur-alik-pani,
P314294,Adad-isseʾa,Aza,undirected,Adad-issiya,
P334613,Šulmu-beli,Urzana,undirected,Šulmu-beli,
P313478,Aššur-belu-udaʾʾan,Aššur-remanni,undirected,Aššur-belu-udaʾʾan,
P313474,Atanha-Šamaš,Attar-ham,undirected,Atanha-Šamaš,
P313474,Atanha-Šamaš,Habsi,undirected,Atanha-Šamaš,
P313474,Atanha-Šamaš,Šulmu-beli,undirected,Atanha-Šamaš,
P313474,Atanha-Šamaš,Luqu,undirected,Atanha-Šamaš,
P313474,Atanha-Šamaš,Marduk-remanni,undirected,Atanha-Šamaš,
P313474,Attar-ham,Habsi,undirected,Atanha-Šamaš,
P313474,Attar-ham,Šulmu-beli,undirected,Atanha-Šamaš,
P313474,Attar-ham,Luqu,undirected,Atanha-Šamaš,
P313474,Attar-ham,Marduk-remanni,undirected,Atanha-Šamaš,
P313474,Habsi,Šulmu-beli,undirected,Atanha-Šamaš,
P313474,Habsi,Luqu,undirected,Atanha-Šamaš,
P313474,Habsi,Marduk-remanni,undirected,Atanha-Šamaš,
P313474,Šulmu-beli,Luqu,undirected,Atanha-Šamaš,
P313474,Šulmu-beli,Habsi,undirected,Atanha-Šamaš,
P313474,Šulmu-beli,Marduk-remanni,undirected,Atanha-Šamaš,
P313474,Luqu,Habsi,undirected,Atanha-Šamaš,
P313474,Luqu,Marduk-remanni,undirected,Atanha-Šamaš,
P334093,Aššur-reṣuwa,Ariye,undirected,Aššur-reṣuwa,
P334093,Aššur-reṣuwa,Ariaza,undirected,Aššur-reṣuwa,
P334093,Aššur-reṣuwa,Šulmu-beli-lašme,undirected,Aššur-reṣuwa,
P334093,Ariye,Ariaza,undirected,Aššur-reṣuwa,
P334093,Ariye,Šulmu-beli-lašme,undirected,Aššur-reṣuwa,
P334093,Ariaza,Šulmu-beli-lašme,undirected,Aššur-reṣuwa,
P334090,Aššur-reṣuwa,Narage,undirected,Aššur-reṣuwa,
P334090,Aššur-reṣuwa,Urṣene,undirected,Aššur-reṣuwa,
P334090,Aššur-reṣuwa,Abaliuqunu,undirected,Aššur-reṣuwa,
P334090,Aššur-reṣuwa,Iṣiye,undirected,Aššur-reṣuwa,
P334090,Narage,Urṣene,undirected,Aššur-reṣuwa,
P334090,Narage,Abaliuqunu,undirected,Aššur-reṣuwa,
P334090,Narage,Iṣiye,undirected,Aššur-reṣuwa,
P334090,Urṣene,Abaliuqunu,undirected,Aššur-reṣuwa,
P334090,Urṣene,Iṣiye,undirected,Aššur-reṣuwa,
P334090,Abaliuqunu,Iṣiye,undirected,Aššur-reṣuwa,
P334138,Naʾdi-ilu,Šimkaya,undirected,Naʾdi-ilu,
P313513,Ariye,Aššur-reṣuwa,undirected,,
P313905,Šamaš-išmanni,Ariye,undirected,Aššur-reṣuwa,
