label,eponym,Id
Šep-Aššur,False,Šep-Aššur
Nabu-ahu-ereš,False,Nabu-ahu-ereš
Tarditu-Aššur,False,Tarditu-Aššur
Ša-la-ili-mannu,False,Ša-la-ili-mannu
Lu-ahuʾa,False,Lu-ahuʾa
Teši-eṭir,False,Teši-eṭir
Šamaš-ruqaya,False,Šamaš-ruqaya
Aššur-daʾʾinanni,False,Aššur-daʾʾinanni
Mahde,False,Mahde
Kuškaya,False,Kuškaya
Ubru-Palil,False,Ubru-Palil
Recruitment officers,False,Recruitment officers
Aššur-naʾdi,False,Aššur-naʾdi
Ahu-nuri,False,Ahu-nuri
Paqaha,False,Paqaha
Labasi,False,Labasi
Siplia,False,Siplia
Ereš-ilu,False,Ereš-ilu
Ilu-iqbi,False,Ilu-iqbi
Adad-nuri,False,Adad-nuri
Kubaba-ereš,False,Kubaba-ereš
Natan,False,Natan
Madayu,False,Madayu
Mardu,False,Mardu
Šamaš-taklak,False,Šamaš-taklak
Dala-il,False,Dala-il
Nabu-ušallim,False,Nabu-ušallim
Urdu-Issar,False,Urdu-Issar
Nabu-dur-makie,False,Nabu-dur-makie
Lutu,False,Lutu
Raʾiwanu,False,Raʾiwanu
Hazannu,False,Hazannu
Ariaza,False,Ariaza
Zabina-ili,False,Zabina-ili
Urik,False,Urik
Yataʾ,False,Yataʾ
Ṭab-ṣil-Ešarra,True,Ṭab-ṣil-Ešarra
Aššur-šarru-ibni,False,Aššur-šarru-ibni
Nabu-taklak,False,Nabu-taklak
Ada,False,Ada
Lullupaya,False,Lullupaya
Aplaya,False,Aplaya
Seʾ-salamu,False,Seʾ-salamu
Nabu-šarru-ibni,False,Nabu-šarru-ibni
Šamaš-ilaʾi,False,Šamaš-ilaʾi
Ammi-yataʾ,False,Ammi-yataʾ
Arzaya,False,Arzaya
Bur-Sila,False,Bur-Sila
Baga-parna,False,Baga-parna
Urmakinnu,False,Urmakinnu
Nabu-deʾiq,False,Nabu-deʾiq
Zaqiru,False,Zaqiru
Ilu-mušezib,False,Ilu-mušezib
Nabu-ašared,False,Nabu-ašared
Aššur-bel-šarrani,False,Aššur-bel-šarrani
Babu,False,Babu
Urpalaʾa,False,Urpalaʾa
Mita,False,Mita
Kuna,False,Kuna
Asrukanu,False,Asrukanu
Mannu-ki-mat-Aššur,False,Mannu-ki-mat-Aššur
Aššur-ašared,False,Aššur-ašared
Ullusunu,False,Ullusunu
Zaba-iqiša,False,Zaba-iqiša
Nabu-riba-ahhe,False,Nabu-riba-ahhe
Sili,False,Sili
Bel-Harran-belu-uṣur,False,Bel-Harran-belu-uṣur
Šulmu-bel-ašme,False,Šulmu-bel-ašme
Inṣabri,False,Inṣabri
Duʾani-Issar,False,Duʾani-Issar
Dannaya,False,Dannaya
Setinu,False,Setinu
Šimkaya,False,Šimkaya
Ṣululu,False,Ṣululu
Aššur-belu-uṣur,False,Aššur-belu-uṣur
Suitka,False,Suitka
Nabu-iqiša,False,Nabu-iqiša
Iqišaya,False,Iqišaya
Mitunu,False,Mitunu
Ṣala-il,False,Ṣala-il
Adad-issiya,False,Adad-issiya
Nabu-ušabši,False,Nabu-ušabši
Ezi,False,Ezi
Pan-Aššur-lamur,False,Pan-Aššur-lamur
Iṣiye,False,Iṣiye
Kina,False,Kina
Yaʾiru,False,Yaʾiru
Ubru-Harran,False,Ubru-Harran
Lansi,False,Lansi
Ea-šarru-ibni,False,Ea-šarru-ibni
Nashir-Bel or Ša-Aššur-dubbu,False,Nashir-Bel or Ša-Aššur-dubbu
Aššur-šarru-uṣur,False,Aššur-šarru-uṣur
Kubaba-satar,False,Kubaba-satar
Marduk-iddina,False,Marduk-iddina
Naʾid-Ešeriga,False,Naʾid-Ešeriga
Duri-Adad,False,Duri-Adad
Šamaš-išmanni,False,Šamaš-išmanni
Šarru-nuri,False,Šarru-nuri
Aššur-leʾi,False,Aššur-leʾi
Bel-qatua,False,Bel-qatua
Bel-lešir,False,Bel-lešir
Akburu,False,Akburu
Dasukku,False,Dasukku
Nur-Sin,False,Nur-Sin
Bel-emuranni,False,Bel-emuranni
Rehanu,False,Rehanu
Ziziru,False,Ziziru
Sani,False,Sani
Samnuha-bessunu,False,Samnuha-bessunu
NN,False,NN
Remutu,False,Remutu
Nibe,False,Nibe
Nabu-uṣalla,False,Nabu-uṣalla
Seʾ-gabbari,False,Seʾ-gabbari
Nabu-leʾi,False,Nabu-leʾi
Sanda-pi,False,Sanda-pi
Nabu-belu-kaʾʾin,False,Nabu-belu-kaʾʾin
Ubaru,False,Ubaru
Gamalu,False,Gamalu
Nergal-belu-uṣur,False,Nergal-belu-uṣur
Ašipa,False,Ašipa
Sapiku,False,Sapiku
Gidgiddanu,False,Gidgiddanu
Bel-iddina,False,Bel-iddina
Arbailayu,False,Arbailayu
Zala,False,Zala
Aššur-šumu-kaʾʾin,False,Aššur-šumu-kaʾʾin
Nabu-belu-uṣur,False,Nabu-belu-uṣur
Išmanni-Aššur,False,Išmanni-Aššur
Dalta,False,Dalta
Nabuʾa,False,Nabuʾa
Belu-lu-balaṭ,False,Belu-lu-balaṭ
Appa,False,Appa
Aššur-reṣuwa,False,Aššur-reṣuwa
Upaq-Šamaš,False,Upaq-Šamaš
Silim-Aššur,False,Silim-Aššur
Ṭab-šar-Aššur,True,Ṭab-šar-Aššur
Issar-duri,True,Issar-duri
Šulmu-beli-lašme,False,Šulmu-beli-lašme
Arbayu,False,Arbayu
Marduku,False,Marduku
Paltaṣi,False,Paltaṣi
Abaliuqunu,False,Abaliuqunu
Adad-aplu-iddina,False,Adad-aplu-iddina
Gabbu-amur,False,Gabbu-amur
Kilar,False,Kilar
Adad-ibni,False,Adad-ibni
Tuqunu,False,Tuqunu
Anu-ereš,False,Anu-ereš
Sin-naʾdi,False,Sin-naʾdi
Sumaya,False,Sumaya
Dada,False,Dada
Nergal-eṭir,False,Nergal-eṭir
Issar-šumu-iqiša,False,Issar-šumu-iqiša
Sin-ilaʾi,False,Sin-ilaʾi
Adad-remanni,False,Adad-remanni
Šamaš-ukin,False,Šamaš-ukin
Humamati,False,Humamati
Halama,False,Halama
Ramati,False,Ramati
Arihu,False,Arihu
Nanu,False,Nanu
Ṭuki,False,Ṭuki
Palihka-libluṭ,False,Palihka-libluṭ
Sargon II,False,Sargon II
Aššur-ereš,False,Aššur-ereš
Melarṭua,False,Melarṭua
Dadi-suri,False,Dadi-suri
Nabu-bani,False,Nabu-bani
Aššur-...,False,Aššur-...
Zabaya,False,Zabaya
Haldi-naṣir,False,Haldi-naṣir
unassigned vassal king,False,unassigned vassal king
Nabu-šezibanni,False,Nabu-šezibanni
Ina-šar-Bel-allak,False,Ina-šar-Bel-allak
Nabu-šezib,False,Nabu-šezib
Bel-eriba,False,Bel-eriba
Amar-ili,False,Amar-ili
Inurta-ilaʾi or Nabu-pašir,False,Inurta-ilaʾi or Nabu-pašir
Sin-uballiṭ,False,Sin-uballiṭ
Makkame,False,Makkame
Kubaba-ilaʾi,False,Kubaba-ilaʾi
Rapa-il,False,Rapa-il
Aqaba,False,Aqaba
Nabu-pašir,False,Nabu-pašir
Bel-ibni,False,Bel-ibni
Aza,False,Aza
Irtukkanu,False,Irtukkanu
Ahu-illika,False,Ahu-illika
Kalbi-Uku,False,Kalbi-Uku
Bel-qatika-ṣabat,False,Bel-qatika-ṣabat
Yadiʾ,False,Yadiʾ
Ilu-illika,False,Ilu-illika
Sin-duru-uṣur,False,Sin-duru-uṣur
Šarru-lu-dari,False,Šarru-lu-dari
Sadiru,False,Sadiru
Nabu-...,False,Nabu-...
Šulmu-beli,False,Šulmu-beli
Huziru,False,Huziru
Kaqqadanu,False,Kaqqadanu
Issar-naʾdi,False,Issar-naʾdi
Ata,False,Ata
Saʾilu,False,Saʾilu
Ilumma-taklak,False,Ilumma-taklak
Pihame,False,Pihame
Erra-dala,False,Erra-dala
Aššur-ṣabtanni,False,Aššur-ṣabtanni
Mannu-ki-ahhe,False,Mannu-ki-ahhe
Ahhešaya,False,Ahhešaya
Naṣibi,False,Naṣibi
Aššur-belu-daʾʾin,False,Aššur-belu-daʾʾin
Nabu-zer-ketti-lešir,False,Nabu-zer-ketti-lešir
Nabu-mušallim,False,Nabu-mušallim
