transliteration,normalization,remarks
A-ta₂-še-en-ta,Attašen[]PN,Hurrian
A-ta₂-kal₂-šum,Atakkalšum[]PN,
A-ta₂-kal₂-šum-e,Atakkalšum[]PN,
A-ta₂-na-ah,Atanah[]PN,
A-tal-me-me,AtalMeme[]PN,Hurrian
A-tal₂-{d}Mar-tu-ra,AtalMartu[]PN,Hurrian
A-tar-da,Atarda[]PN,
A-ti,Ati[]PN,Ayati?
A-ti-a-ta,Atiʾa[]PN,
A-ti-da,Atida[]PN,
A-ti-da-ka,Atida[]PN,
A-ti-da-ta,Atida[]PN,
A-ti-ma-tum,Atimatum[]PN,
A-tu,Atu[]PN,
A-tu-Ma-ma,AtuMamak[]PN,
A-tu-banda₃{da},Atubanda[]PN,
A-tu-du,Atudu[]PN,MVN 01 144 o 11'; name translit only (PD)
A-tu-kal-la,Atukala[]PN,"or, Atukalag"
A-tu-ki,Atuki[]PN,
A-tu-su-si-ig,Atu[]PN,typo: NBC 00121 o 6: 1# gud# [A-t]u su-si-ig '1 bull for Atu the flayer'
A-tu-ta,Atu[]PN,
A-u₃-da-il,Aʾudaʾil[]PN,
A-wa-ar-ka,Awarka[]PN,
A-wa-at-i₃-li₂,Awatili[]PN,
A-wa-nu-um,Awanum[]PN,
A-za,Aza[]PN,
A-za-ak-za-kum,Azakzakum[]PN,
A-za-ba-an,Azaban[]PN,= Azabani?
A-za-lum,Azalum[]PN,
A-za-ma-an{ki},Azaman[]SN,
A-zi-zi,Azizi[]PN,
A.AB.BA-ba-aš-ti,Abumbašti[]PN,uncertain
A.AB.BA-ba-aš-ti-še₃,Abumbašti[]PN,
A.AB.BA-ba-aš₂-ti-e,Abumbašti[]PN,
A.AB.BA-ba-aš₂-ti-ra,Abumbašti[]PN,
kuara{ki},Kuʾara[]SN,
kuara₂{ki},Kuʾara[]SN,
A.HA{ki},Kuʾara[]SN,
A.HA{ki}-še₃,Kuʾara[]SN,
A.HA{ki}-ta,Kuʾara[]SN,
A.MA-{d}Eš₄-tar₂-ra,A.MA.{d}Eš₁₈.tar₂.ra[]PN,UmmiʾEštar?; LAOS 1 25 r 2 (copy)
A₂-bi₂-DINGIR,Abiʾili[]PN,
A₂-bi₂-DU₁₀,Abiṭab[]PN,
A₂-bi₂-a-bi-ih,AbiʾEbih[]PN,
A₂-bi₂-si₂-im-ti,Abisimti[]PN,
A₂-da-lal₃,Adalal[]PN,Addalal?
A₂-dingir,Adiŋirak[]PN,
A₂-dingir-ga₂-ta,Adiŋirŋak[]PN,
A₂-ga-ga,Agaga[]PN,
A₂-kuš₃-{d}Mar-tu,AkušMartu[]PN,
A₂-la-la,Alala[]PN,
A₂-la-la-ta,Alala[]PN,
A₂-li₂-id,Alid[]PN,
A₂-li₂-id-DU,Alid[]PN,MCS 1 38 r 2: ŋiri3 a2-li2-id# / D[U-x?] (photo; PD); ra2-gaba?
A₂-na,Ana[]PN,hypo?
A₂-na-mu,Anaŋu[]PN,
A₂-na-na,Anana[]PN,
A₂-na-na-ta,Anana[]PN,
A₂-ne-ni,Apili[]PN,
A₂-ni-a₂,Alid[]PN,
A₂-ni-a₂-ta,Alid[]PN,
A₂-ni-ni-ta,Alili[]PN,
A₂-nin-ga₂-ta,Aninŋak[]PN,
A₂-nu-nu,Anunu[]PN,
A₂-pi-la-ša,Apilaša[]PN,
A₂-pi-lum-ma,Apiluma[]PN,= Apilum?
A₂-pi₅-la,Apila[]PN,
A₂-pi₅-la-a,Apila[]PN,"or, Apilaʾa/Apilaya?"
A₂-pi₅-la-ša,Apilaša[]PN,
A₂-pi₅-la-ša-ar,Apilaša[]PN,
A₂-pi₅-la-ša-še₃,Apilaša[]PN,
A₂-pi₅-la-ša-ta,Apilaša[]PN,
A₂-pi₅-la-nu-um,Apilanum[]PN,
A₂-pi₅-la-num₂,Apilanum[]PN,
