transliteration,normalization,sign_names,remarks
{d}Dumu-zi-bad₃,Dumuzidbad[]PN,AN TUR ZI |EZEN×BAD|,
{d}Dumu-zi-da,Dumuzid[]DN,AN TUR ZI DA,
{d}E₂-ta-e₃,Etaʾe[]DN,AN E₂ TA UD DU,
{d}EZEM.SAG.TUR,Ezemsaŋtur[]DN,AN EZEN SAG TUR,uncertain
{d}Eden,{d}EDEN[]DN,AN EDIN,uncertain; MVN 10 144 o ii 18 (copy/photo)
{d}Egi-nun-na,Namnun[]DN,AN EŠ₂ NUN NA,
{d}En-ME-{d}Šara₂,EnmeŠarak[]DN,AN EN ME AN |LAGAB×IGI@G|,
{d}En-gal-du-du,{d}En.gal.DU.DU[]DN,AN EN GAL DU DU,
{d}En-ki,Enkik[]DN,AN EN KI,"likely pronounced /(H)enik/; cf, UGN writing UD.GAL.UNUG /Hanuk/?"
{d}En-ki-še₃,Enkik[]DN,AN EN KI EŠ₂,
{d}En-ki-ka,Enkik[]DN,AN EN KI KA,
{d}En-ki-ka-še₃,Enkik[]DN,AN EN KI KA EŠ₂,
{d}En-ki-ka-ta,Enkik[]DN,AN EN KI KA TA,
{d}En-ki-me-igi-gal₂,Enkikmeʾigiŋal[]PN,AN EN KI ME IGI IG,
{d}En-ki-nin-UL.IL₂,{d}En.ki.nin.UL.IL₂[]DN,AN EN KI SAL TUG₂ U GUD IL₂,'Enki is lord? bearing fruit'?
{d}En-ki-nin-UL.IL₂-še₃,{d}En.ki.nin.UL.IL₂[]DN,AN EN KI SAL TUG₂ U GUD IL₂ EŠ₂,
{d}En-ki-nir-gal₂,Enkiknirŋal[]DN,AN EN KI |NUN&NUN| IG,
{d}En-ki-nun,Enkiknun[]DN,AN EN KI NUN,
{d}En-ki-ta,Enkik[]DN,AN EN KI TA,
{d}En-ki₂,Enkik[]DN,AN EN GI,typo; BIN 3 451 r 3 (KI2 for KI; copy)
{d}En-lil₂,Enlil[]DN,AN EN KID,
{d}En-lil₂-ŠE₃-ta,IgiʾEnlilakše[]PN,AN EN KID EŠ₂ TA,typo; ASJ 12 043 15 o 3: ki Igi-{d}En-lil2-še3-ta (copy)
{d}En-lil₂-a-bu-šu,Enlilabušu[]PN,AN EN KID A BU ŠU,
{d}En-lil₂-a₂-mah,Enlilamah[]PN,AN EN KID A₂ MAH,
{d}En-lil₂-al-šu,Enlililšu[]PN,AN EN KID AL ŠU,uncertain (il10 for IL/IL3?)
{d}En-lil₂-e₃,Enlile[]PN,AN EN KID UD DU,
{d}En-lil₂-i-zu,Enlilizu[]PN,AN EN KID I ZU,"uncertain (I for I3?; SS 04, 05)"
{d}En-lil₂-i₃-sa₆,Enlilaʾisag[]PN,AN EN KID NI ŠA₆,
{d}En-lil₂-i₃-zu,Enlilizu[]PN,AN EN KID NI ZU,"SS 05, 09"
{d}En-lil₂-ib₂-gu-ul,Enlilibgul[]PN,AN EN KID TUM GU U GUD,
{d}En-lil₂-igi-du,Enlilpalil[]PN,AN EN KID IGI DU,
{d}En-lil₂-ka,Enlil[]DN,AN EN KID KA,
{d}En-lil₂-ku₃-zu,Enlilkugzu[]PN,AN EN KID KU₃ ZU,
{d}En-lil₂-la,Enlil[]DN,AN EN KID LA,uncertain; PDT 1 324 o 5 (LA or LA2?; no copy/photo)
{d}En-lil₂-la-ta,Enlil[]DN,AN EN KID LA TA,uncertain; AUCT 1 023 r 3 (LA restored; copy/photo)
{d}En-lil₂-la₂,Enlil[]DN,AN EN KID LAL,
{d}En-lil₂-la₂-bi₂-du₁₁,Enlilabidug[]PN,AN EN KID LAL NE KA,
{d}En-lil₂-la₂-še₃,Enlil[]DN,AN EN KID LAL EŠ₂,
{d}En-lil₂-la₂-i₃-sa₆,Enlilaʾisag[]PN,AN EN KID LAL NI ŠA₆,
{d}En-lil₂-la₂-i₃-sa₆-še₃,Enlilaʾisag[]PN,AN EN KID LAL NI ŠA₆ EŠ₂,
{d}En-lil₂-la₂-i₃-sa₆-ta,Enlilaʾisag[]PN,AN EN KID LAL NI ŠA₆ TA,
{d}En-lil₂-la₂-ka,Enlil[]DN,AN EN KID LAL KA,
{d}En-lil₂-la₂-ke₄,Enlil[]DN,AN EN KID LAL KID,
{d}En-lil₂-la₂-ke₄-ne-še₃,Enlil[]DN,AN EN KID LAL KID NE EŠ₂,
{d}En-lil₂-la₂-ta,Enlil[]DN,AN EN KID LAL TA,
{d}En-lil₂-la₂-zi,Enlilzid[]PN,AN EN KID LAL ZI,
{d}En-lil₂-le,Enlil[]DN,AN EN KID LI,
{d}En-lil₂-ma-an-sum,Enlilemanšum[]PN,AN EN KID MA AN SUM,
{d}En-lil₂-ra,Enlil[]DN,AN EN KID RA,
{d}En-lil₂-re-ez-zum,Enlilreṣum[]PN,AN EN KID RI GIŠ ZUM,
{d}En-lil₂-ri-zu-um,Enlilreṣum[]PN,AN EN KID RI ZU UM,
{d}En-lil₂-si-sa₂,Enlilsisa[]PN,AN EN KID SI DI,
{d}En-lil₂-ta,Enlil[]DN,AN EN KID TA,
{d}En-lil₂-zi,Enlilzid[]PN,AN EN KID ZI,
{d}En-lil₂-zi-ša₃-gal,Enlilzišaŋal[]PN,AN EN KID ZI ŠA₃ GAL,BPOA 7 2825 r 3 (GAL for GAL2?; no copy/photo)
{d}En-lil₂-zi-ša₃-gal-ta,Enlilzišaŋal[]PN,AN EN KID ZI ŠA₃ GAL TA,typo; Princeton 2 060 o 4 (GAL for GAL2; photo)
{d}En-lil₂-zi-ša₃-gal₂,Enlilzišaŋal[]PN,AN EN KID ZI ŠA₃ IG,
{d}En-lil₂-zi-ša₃-gal₂-še₃,Enlilzišaŋal[]PN,AN EN KID ZI ŠA₃ IG EŠ₂,
{d}En-lil₂-zi-ša₃-gal₂-ta,Enlilzišaŋal[]PN,AN EN KID ZI ŠA₃ IG TA,
{d}En-me-ša-ra,EnmeŠarak[]DN,AN EN ME ŠA RA,
{d}En-me-šar₂-ra,EnmeŠarak[]DN,AN EN ME HI RA,
{d}En-na-nun,{d}En.na.NUN[]DN,AN EN NA NUN,Akk. Ennarubu 'prince is gracious'?
{d}En-nimgir-si,Enniŋirsi[]DN,AN EN DUN₃@G@G SI,
{d}En-zi-kalam-ma,Enzidkalamak[]DN,AN EN ZI UN MA,
{d}Enki-ka,Enkik[]DN,AN ENKI KA,
{d}Ensi₂-gal-ab-zu,Ensikgalabzuk[]DN,AN PA TE SI GAL AB ZU,
{d}Ensi₂-mah,Ensikmah[]DN,AN PA TE SI MAH,
{d}Er₃-ra-zu,Errazu[]PN,AN ARAD RA ZU,
{d}Ereš-ki-gal,Ereškigalak[]DN,AN SAL TUG₂ KI GAL,
{d}Ezem-sag-tur,Ezemsaŋtur[]DN,AN EZEN SAG TUR,
{d}GAD.BIR,{d}GAD.HI×U.U.U[]DN,AN GAD HI×ŠE,MVN 13 099 o 14 (copy/photo)
{d}GAD.HI,{d}GAD.HI×U.U.U[]DN,AN GAD HI,MVN 13 099 r 9 (copy/photo)
{d}Ga-an-sur-ra,Gansura[]DN,AN GA AN SUR RA,
{d}Ga-ga,Gaga[]DN,AN GA GA,
{d}Ga₂-ab-bi-in,AN.GA₂.ab.bi.in[]PN,AN GA₂ AB BI IN,BIN 3 576 r 3 (copy)
{d}Ga₂-tum₃-du₁₀-me,Ŋatumdug[]DN,AN GA₂ |NIM×GAN₂@T| HI ME,
{d}Ga₂-tum₃-du₁₀-ta,Ŋatumdug[]DN,AN GA₂ |NIM×GAN₂@T| HI TA,
{d}Ganzer,Ganzer[]GN,AN IGI KUR ZA,"or, DN?"
{d}Geštin,{d}ŊEŠTIN[]DN,AN GEŠTIN,Trouvaille 11 r 1: 1 udu niga {d}Geštin? (copy)
{d}Geštin-an-ka,Ŋeštinanak[]DN,AN GEŠTIN AN KA,
{d}Geštin-an-na,Ŋeštinanak[]DN,AN GEŠTIN AN NA,
{d}Geštin-an-na-lugal,Ŋeštinanak[]DN,AN GEŠTIN AN NA LUGAL,uncertain ('royal Geštinana'?); 9 PD citations
{d}Geštin-an-na-ta,Ŋeštinanak[]DN,AN GEŠTIN AN NA TA,
{d}Gibil,Gibil[]DN,AN NE@S,
