id_text,source,target,Type,ancient_author,recipient,dossier,senderloc,sender_title
P334103,Šamaš-belu-uṣur,Nabu-eriba,undirected,Issar-duri,Sargon II,SAA15.01.01.a,Arrapha,LÚGAR.KUR URUarrap-ha
P334273,Šarru,Ṭab-ṣil-Ešarra,undirected,Ṭab-ṣil-Ešarra,Sargon II,SAA01.04.01.a,Ashur,LÚGAR.KUR ŠÀ-URU
P334273,Ṭab-ṣil-Ešarra,Šarru,undirected,Ṭab-ṣil-Ešarra,Sargon II,SAA01.04.01.a,Ashur,LÚGAR.KUR ŠÀ-URU
P313617,Bel-ilaʾi,Aplaya,undirected,(unknown),Sargon II,SAA15.01.04.c,Arrapha,
P313617,Aplaya,Bel-ilaʾi,undirected,(unknown),Sargon II,SAA15.01.04.c,Arrapha,
P334384,Šarru,Ṭab-ṣil-Ešarra,undirected,Ṭab-ṣil-Ešarra,Sargon II,SAA01.04.01.c,Ashur,LÚGAR.KUR ŠÀ-URU
P334384,Ṭab-ṣil-Ešarra,Šarru,undirected,Ṭab-ṣil-Ešarra,Sargon II,SAA01.04.01.c,Ashur,LÚGAR.KUR ŠÀ-URU
P313619,Dinanu,Išme-ilu,undirected,Dinanu,Sargon II,SAA05.08.11.c,Eastern Kurdistan,
P313619,Išme-ilu,Dinanu,undirected,Dinanu,Sargon II,SAA05.08.11.c,Eastern Kurdistan,
P334586,Ahu-lurši,Mardi,undirected,Ahu-lurši,Sargon II,SAA01.06.03.b,Dur-Sharruken,
P334586,Mardi,Ahu-lurši,undirected,Ahu-lurši,Sargon II,SAA01.06.03.b,Dur-Sharruken,
P334187,Aššur-dur-paniya,Yataʾ,undirected,Aššur-dur-paniya,Sargon II,SAA05.04.01.a,Rab Šaqê Province,
P334187,Aššur-dur-paniya,Abi-yaqa,undirected,Aššur-dur-paniya,Sargon II,SAA05.04.01.a,Rab Šaqê Province,
P334187,Aššur-dur-paniya,Hu-Teššub,undirected,Aššur-dur-paniya,Sargon II,SAA05.04.01.a,Rab Šaqê Province,
P334187,Aššur-dur-paniya,Aššur-bessunu,undirected,Aššur-dur-paniya,Sargon II,SAA05.04.01.a,Rab Šaqê Province,
P334187,Yataʾ,Abi-yaqa,undirected,Aššur-dur-paniya,Sargon II,SAA05.04.01.a,Rab Šaqê Province,
P334187,Yataʾ,Hu-Teššub,undirected,Aššur-dur-paniya,Sargon II,SAA05.04.01.a,Rab Šaqê Province,
P334187,Yataʾ,Aššur-bessunu,undirected,Aššur-dur-paniya,Sargon II,SAA05.04.01.a,Rab Šaqê Province,
