primary_publication	Archive	id_text
TCL 02 5515	Treasure Archive	P131604
TCL 02 5547	Treasure Archive	P131636
TCL 02 5549	Treasure Archive	P131638
TCL 02 5550	Treasure Archive	P131639
TCL 02 5560	Treasure Archive	P131649
TCL 02 5565	Treasure Archive	P131654
TCL 02 5567	Treasure Archive	P131656
TCL 02 5589	Treasure Archive	P131678
TIM 6 33	Treasure Archive	
TIM 6 34	Treasure Archive	
TIM 6 35	Treasure Archive	
TIM 6 36	Treasure Archive	
TIM 6 37	Treasure Archive	
TIM 6 38	Treasure Archive	
TIM 6 39	Treasure Archive	
TIM 6 40	Treasure Archive	
TIM 6 41	Treasure Archive	
TIM 6 42	Treasure Archive	
TIM 6 43	Treasure Archive	
Toronto 1 177	Treasure Archive	
TPTS 125	Treasure Archive	
TrDr 82	Treasure Archive	
TrDr 83	Treasure Archive	
TrDr 84	Treasure Archive	
TrDr 85	Treasure Archive	
TrDr 86	Treasure Archive	
TrDr 87	Treasure Archive	
TrDr 88	Treasure Archive	
TRU 303	Treasure Archive	P135067
TRU 387	Treasure Archive	P135151
U.30117	Treasure Archive	
U.30117	Treasure Archive	
UET 03 0321	Treasure Archive	
UTI 6 3793	Treasure Archive	P141790
UTI 6 3800	Treasure Archive	P141796
YBC 13384	Treasure Archive	
YBC 14426	Treasure Archive	
YBC 15528	Treasure Archive	
YBC 1710	Treasure Archive	
YOS 15 188	Treasure Archive	P414557
BPOA 2 2681	Treasure Archive	P340515
MVN 11 186	Treasure Archive	P116199
Neumann AoF 35 n.2	Treasure Archive or Livestock Archive	
AUCT 2 413	Treasure Archive?	P104232
OIP 115 n. 497	Treasure Archive?	
SAT 3 1331	Treasure Archive?	P144531
TCL 02 5529	Treasure Archive?	P131618
YBC 15946	Treasure Archive?	
Princeton 2 044	Late Phase (GSB) (Shoe Archive)	P201042
SAT 3 1998	Late Phase (GSB) (Shoe Archive)	P145198
SET 290	Late Phase (GSB) (Shoe Archive)	P129700
YBC 212	Late Phase (GSB) (Shoe Archive)	
ASJ 04 p.142 n.8	Late Phase (GSB) (Treasure Archive)	
Fs Haas 286	Late Phase (GSB) (Treasure Archive)	P200026
OrAnt 14 16	Late Phase (GSB) (Treasure Archive)	
AUCT 1 757	Formation Phase	P103602
AUCT 1 954	Formation Phase	P103799
Babyloniaca 7,pl.XX n.7	Formation Phase	
BOSON, Tavolette 352	Formation Phase	
MM 1977: 21	Formation Phase	
NATN 827	Formation Phase	P121524
NBC 10322	Formation Phase	
NBC 7494	Formation Phase	
OIP 115 n.488	Formation Phase	
Or 47-49 129	Formation Phase	
PDT 1 635	Formation Phase	
PDT 2 1089	Formation Phase	P126427
RA 17 p.211b	Formation Phase	
SAT 2 039	Formation Phase	
SAT 2 968	Formation Phase	
TCNY 45	Formation Phase	
TRU 384	Formation Phase	P135148
TRU 385	Formation Phase	P135149
YOS 15 181	Formation Phase	P200497
BJRL 8 p.411 n.508	Formation Phase	
